Cislo,C15,1;nazev,C50,2;PCA,N11/3,3$
Z62-P-130;Židle BERTA;829.500;
Z62-P-1303;Židle BERTA;829.500;
Z62-P-132;Židle BERTA;829.500;
Z62-P-133;Židle BERTA;829.500;
Z62-P-134;Židle BERTA;829.500;
Z62-P15;Židle BERTA;829.500;
Z62-P16;Židle přírodní, čalounění 16;829.500;
Z62-P-16;Židle BERTA;829.500;
Z62-P-227;Židle BERTA;829.500;
Z62-P-2307;Židle BERTA;829.500;
Z62-P-2323;Židle BERTA;829.500;
Z62-P-2331;Židle BERTA;829.500;
Z62-P-242;Židle BERTA;829.500;
Z62-P32;Židle BERTA;829.500;
Z62-P-33;Židle BERTA;829.500;
Z62-P38;Židle přírodní, čalounění 38;829.500;
Z62-P-38;Židle BERTA;829.500;
Z62-P39;Židle přírodní, čalounění 39;829.500;
Z62-P-42;Židle BERTA;829.500;
Z62-P-43;Židle BERTA;829.500;
Z62-P44;Židle BERTA;829.500;
Z62-P-710;Židle BERTA;829.500;
Z62-P-ATYP;Židle BERTA;0.000;
Z62-P-K1214;Židle BERTA;829.500;
Z62-S-12;Židle BERTA;995.040;
Z62-T01;Židle třešeň, čalounění 01;995.040;
Z62-T02;Židle BERTA;995.040;
Z62-T03;Židle třešeň, čalounění 03;995.040;
Z62-T03;Židle BERTA;995.040;
Z62-T04;Židle BERTA;995.040;
Z62-T05;Židle BERTA;995.040;
Z62-T11;Židle BERTA;995.040;
Z62-T13;Židle BERTA;995.040;
Z62-T-130;Židle BERTA;995.040;
Z62-T14;Židle třešeň, čalounění 14;995.040;
Z62-T15;Židle třešeň, čalounění 15;995.040;
Z62-T16;Židle třešeň, čalounění 16;995.040;
Z62-T32;Židle třešeň, čalounění 32;995.040;
Z62-T34;Židle třešeň, čalounění 34;995.040;
Z62-T35;Židle třešeň, čalounění 35;995.040;
Z62-T37;Židle třešeň, čalounění 37;995.040;
Z62-T38;Židle BERTA;995.040;
Z62-T39;Židle BERTA;995.040;
Z62-T40;Židle BERTA;995.040;
Z62-T42;Židle BERTA;995.040;
Z62-T44;Židle třešeň, čalounění 44;995.040;
Z62-W-1307;Židle BERTA;829.500;
Z62-W-131;Židle BERTA;829.500;
Z62-W15;Židle BERTA;829.500;
Z63-1301-ATYP;Židle ZLATA;1284.300;
Z63-ATY;Židle ZLATA BEZ moření jen s molitanem;1071.070;
Z63-ATYP;Židle kalvados + č.14;1071.070;
Z63-ATYP-2502;Židle ZLATA BEZ moření;1071.070;
Z63-B-2323;Židle ZLATA;1285.120;
Z63-CA-40;Židle ZLATA;1071.070;
Z63-DS-03;Židle ZLATA;1071.070;
Z63-DS-1301;Židle ZLATA;1071.070;
Z63-DS-2325;Židle ZLATA;1071.070;
Z63-DS-730;Židle ZLATA;1071.070;
Z63-H01;Židle hnědá, čalounění 01;1071.070;
Z63-H02;Židle hnědá, čalounění 02;1071.070;
Z63-H03;Židle hnědá, čalounění 03;1071.070;
Z63-H-03;Židle ZLATA;1071.070;
Z63-H04;Židle ZLATA;1071.070;
Z63-H05;Židle hnědá, čalounění 05;1071.070;
Z63-H-10;Židle ZLATA;1071.070;
Z63-H11;Židle ZLATA;1071.070;
Z63-H-110;Židle ZLATA;1071.070;
Z63-H12;Židle ZLATA;1071.070;
Z63-H13;Židle hnědá, čalounění 13;1071.070;
Z63-H-1301;Židle ZLATA;1071.070;
Z604-P-B;Židle plastová bílá BOHUMILA;660.450;
Z604-P-C;Židle plastová černá BOHUMILA;660.450;
Z604-P-C;Židle plastová černá BOHUMILA;660.450;
Z604-P-CV;Židle plastová červená BOHUMILA;660.450;
Z604-P-CV;Židle plastová červená BOHUMILA;660.450;
Z604-P-Z;Židle plastová zelená BOHUMILA;660.450;
Z604-P-Z;Židle plastová zelená BOHUMILA;660.450;
Z605-P-B;Židle plastová bílá NATáLIE;471.450;
Z605-P-B;Židle plastová bílá NATáLIE;471.450;
Z605-P-C;Židle plastová černá NATáLIE;471.450;
Z605-P-CV;Židle plastová červená NATáLIE;471.450;
Z605-P-M;Židle plastová modrá NATáLIE;471.450;
Z606-P-B;Židle plastová bílá;240.000;
Z606-P-C;Židle plastová černá;240.000;
Z606-P-R;Židle plastová růžová;240.000;
Z607-P-B;Židle plastová bílá;585.000;
Z607-P-CV;Židle plastová červená;585.000;
Z607-P-M;Židle plastová modrá;585.000;
Z607-P-M;Židle plastová modrá;585.000;
Z607-P-Z;Židle plastová zelená;585.000;
Z608-P-B;Židle plastová bílá;395.000;
Z608-P-B;Židle plastová bílá;395.000;
Z608-P-CV;Židle plastová červená;395.000;
Z608-P-M;Židle plastová modrá;395.000;
Z608-P-O;Židle plastová oranžová;395.000;
Z609-P-B;Židle plastová bílá;530.000;
Z609-P-C;Židle plastová černá;530.000;
Z609-P-CV;Židle plastová červená;530.000;
Z609-P-M;Židle plastová modrá;530.000;
Z609-P-Z;Židle plastová zelená;530.000;
Z60-CH;Židle chrom LAURA;682.500;
Z60-CH-01;Židle chrom LAURA;682.500;
Z60-CH-03;Židle chrom LAURA;682.500;
Z60-CH-04;Židle chrom LAURA;682.500;
Z60-CH-10;Židle chrom LAURA;682.500;
Z60-CH-103;Židle chrom LAURA;682.500;
Z60-CH-104;Židle chrom LAURA;682.500;
Z60-CH-106;Židle chrom LAURA;682.500;
Z60-CH-107;Židle chrom LAURA;682.500;
Z60-CH-108;Židle chrom LAURA;682.500;
Z60-CH-11;Židle chrom LAURA;682.500;
Z60-CH-111;Židle chrom LAURA;682.500;
Z60-CH-116;Židle chrom LAURA;682.500;
Z60-CH-119;Židle chrom LAURA;682.500;
Z60-CH-130;Židle chrom LAURA;682.500;
Z60-CH-1301;Židle chrom LAURA;682.500;
Z60-CH-1304;Židle chrom LAURA;682.500;
Z60-CH-131;Židle chrom LAURA;682.500;
Z60-CH-133;Židle chrom LAURA;682.500;
Z60-CH-133;Židle chrom LAURA;682.500;
Z60-CH-136;Židle chrom LAURA;682.500;
Z60-CH-137;Židle chrom LAURA;682.500;
Z60-CH-139;Židle chrom LAURA;682.500;
Z60-CH-201;Židle chrom LAURA;682.500;
Z60-CH-2051;Židle chrom LAURA;682.500;
Z60-CH-220;Židle chrom LAURA;682.500;
Z60-CH-222;Židle chrom LAURA;682.500;
Z60-CH-224;Židle chrom LAURA;682.500;
Z60-CH-226;Židle chrom LAURA;682.500;
Z60-CH-229;Židle chrom LAURA;682.500;
Z60-CH-2309;Židle chrom LAURA;682.500;
Z60-CH-2316;Židle chrom LAURA;682.500;
Z63-H-1304;Židle ZLATA;1071.070;
Z63-H-1306;Židle ZLATA;1071.070;
Z63-H-133;Židle ZLATA;1071.070;
Z63-H-134;Židle ZLATA;1071.070;
Z63-H-137;Židle ZLATA;1071.070;
Z63-H14;Židle hnědá, čalounění 14;1071.070;
Z63-H15;Židle ZLATA;1071.070;
Z63-H16;Židle hnědá, čalounění 16;1071.070;
Z63-H-2323;Židle ZLATA;1071.070;
Z63-H-2325;Židle ZLATA;1071.070;
Z63-H32;Židle hnědá, čalounění 32;1071.070;
Z63-H-32;Židle ZLATA;1071.070;
Z63-H34;Židle hnědá, čalounění 34;1071.070;
Z60-CH-2331;Židle chrom LAURA;682.500;
Z60-CH-2333;Židle chrom LAURA;682.500;
Z60-CH-2334;Židle chrom LAURA;682.500;
Z60-CH-234;Židle chrom LAURA;682.500;
Z60-CH-235;Židle chrom LAURA;682.500;
Z60-CH-236;Židle chrom LAURA;682.500;
Z60-CH-237;Židle chrom LAURA;682.500;
Z60-CH-238;Židle chrom LAURA;682.500;
Z60-CH-242;Židle chrom LAURA;682.500;
Z60-CH-244;Židle chrom LAURA;682.500;
Z60-CH-2501;Židle chrom LAURA;682.500;
Z60-CH-2502;Židle chrom LAURA;682.500;
Z60-CH-2503;Židle chrom LAURA;682.500;
Z60-CH-2504;Židle chrom LAURA;682.500;
Z60-CH-43;Židle chrom LAURA;682.500;
Z60-CH-4362C;Židle chrom LAURA;682.500;
Z60-CH-715C;Židle chrom LAURA;740.250;
Z60-CH-725;Židle chrom LAURA;740.250;
Z60-CH-K1214;Židle chrom LAURA;682.500;
Z610-P-B;Židle plastová bílá,nohy dřevo;884.000;
Z610-P-C;Židle plastová černá,nohy dřevo;884.000;
Z610-P-C;Židle plastová černá,nohy dřevo;884.000;
Z610-P-CV;Židle plastová červená,nohy dřevo;884.000;
Z611-P;Židle plastová - vzor -M01;0.000;
Z613-B-CV;Židle plast bilá, čal.červená,kov JASON;1550.000;
Z613-C-H;Židle plast černá, čal.hnědá,kov JASON;1550.000;
Z613-C-S;Židle plast černá, čal.šedá,kov JASON;1550.000;
Z614-P-B;Židle plastová bílá;530.000;
Z614-P-CV;Židle plastová červená;530.000;
Z614-P-Z;Židle plastová zelená;530.000;
Z61-ATYP;Židle DARINA bílé+244(šíře sedáku 40cm);829.500;
Z61-B-110;Židle DARINA;829.500;
Z61-B-41;Židle DARINA;829.500;
Z61-B-42;Židle DARINA;829.500;
Z61-CA-02;Židle DARINA;829.500;
Z61-CA-04;Židle DARINA;829.500;
Z61-CA-2051;Židle DARINA;829.500;
Z61-DS-1301;Židle DARINA;829.500;
Z61-DS-136;Židle DARINA;829.500;
Z61-DS-225;Židle DARINA;829.500;
Z61-DS-242;Židle DARINA;829.500;
Z61-DS-2504;Židle DARINA;829.500;
Z61-DS-41;Židle DARINA;829.500;
Z61-H-02;Židle DARINA;829.500;
Z61-H03;Židle hnědá, čalounění 03;829.500;
Z61-H04;Židle DARINA;829.500;
Z61-H05;Židle DARINA;829.500;
Z61-H11;Židle hnědá, čalounění 11;829.500;
Z61-H13;Židle hnědá, čalounění 13;829.500;
Z61-H-131;Židle DARINA;829.500;
Z61-H-133;Židle DARINA;829.500;
Z61-H14;Židle hnědá, čalounění 14;829.500;
Z61-H15;Židle hnědá, čalounění 15;829.500;
Z61-H16;Židle hnědá, čalounění 16;829.500;
Z61-H-221;Židle DARINA;829.500;
Z61-H-2304;Židle DARINA;829.500;
Z61-H32;Židle DARINA;829.500;
Z61-H33;Židle hnědá, čalounění 33;829.500;
Z61-H34;Židle hnědá, čalounění 34;829.500;
Z61-H35;Židle hnědá, čalounění 35;829.500;
Z61-H36;Židle hnědá, čalounění 36;829.500;
Z61-H37;Židle hnědá, čalounění 37;829.500;
Z61-H39;Židle DARINA;829.500;
Z61-H40;Židle hnědá, čalounění 40;829.500;
Z61-H41;Židle hnědá, čalounění 41;829.500;
Z61-H42;Židle hnědá, čalounění 42;829.500;
Z61-H43;Židle hnědá, čalounění 43;829.500;
Z61-H44;Židle DARINA;829.500;
Z61-H-722;Židle DARINA;829.500;
Z61-HE-1301;Židle DARINA;829.500;
Z61-HE-1303;Židle DARINA;829.500;
Z61-HE-2312;Židle DARINA;829.500;
Z61-HE-38;Židle DARINA;829.500;
Z61-HE-39;Židle DARINA;829.500;
Z61-HE-43;Židle DARINA;829.500;
Z61-L01;Židle olše, čalounění 01;829.500;
Z61-L02;Židle olše, čalounění 02;829.500;
Z61-L03;Židle DARINA;829.500;
Z61-L04;Židle olše, čalounění 04;829.500;
Z61-L05;Židle olše, čalounění 05;829.500;
Z61-L-102;Židle DARINA;829.500;
Z61-L11;Židle DARINA;829.500;
Z61-L12;Židle DARINA;829.500;
Z61-L13;Židle DARINA;829.500;
Z61-L-130;Židle DARINA;829.500;
Z61-L-1301;Židle DARINA;829.500;
Z61-L-1303;Židle DARINA;829.500;
Z61-L-1304;Židle DARINA;829.500;
Z61-L-133;Židle DARINA;829.500;
Z61-L-134;Židle DARINA;829.500;
Z61-L-137;Židle DARINA;829.500;
Z61-L14;Židle olše, čalounění 14;829.500;
Z61-L15;Židle DARINA;829.500;
Z61-L16;Židle DARINA;829.500;
Z61-L-2306;Židle DARINA;829.500;
Z61-L-2326;Židle DARINA;829.500;
Z61-L32;Židle olše, čalounění 32;829.500;
Z61-L33;Židle olše, čalounění 33;829.500;
Z61-L34;Židle olše, čalounění 34;829.500;
Z61-L35;Židle DARINA;829.500;
Z61-L36;Židle DARINA;829.500;
Z61-L37;Židle olše, čalounění 37;829.500;
Z61-L38;Židle DARINA;829.500;
Z61-L39;Židle DARINA;829.500;
Z61-L40;Židle DARINA;829.500;
Z61-L41;Židle DARINA;829.500;
Z61-L42;Židle DARINA;829.500;
Z61-L43;Židle DARINA;829.500;
Z61-L44;Židle DARINA;829.500;
Z61-L-722;Židle DARINA;829.500;
Z61-P01;Židle přírodní, čalounění 01;829.500;
Z61-P02;Židle přírodní, čalounění 02;829.500;
Z61-P-02;Židle DARINA;829.500;
Z61-P03;Židle DARINA;829.500;
Z61-P-03;Židle Darina;829.500;
Z61-P04;Židle přírodní, čalounění 04;829.500;
Z61-P05;Židle přírodní, čalounění 05;829.500;
Z61-P-09;Židle DARINA;829.500;
Z519-HE-2302;Židle malá buková APOLENKA;390.000;
Z519-HE-2304;Židle malá buková APOLENKA;390.000;
Z519-HE-2309;Židle malá buková APOLENKA;390.000;
Z519-HE-2310;Židle malá buková APOLENKA;390.000;
Z519-HE-2311;Židle malá buková APOLENKA;390.000;
Z519-HE-2312;Židle malá buková APOLENKA;390.000;
Z519-HE-2313;Židle malá buková APOLENKA;390.000;
Z519-HE-2322;Židle malá buková APOLENKA;390.000;
Z519-HE-2329;Židle malá buková APOLENKA;390.000;
Z519-HE-2330;Židle malá buková APOLENKA;390.000;
Z519-HE-237;Židle malá buková APOLENKA;390.000;
Z519-HE-243;Židle malá buková APOLENKA;390.000;
Z519-HE-244;Židle malá buková APOLENKA;332.000;
Z519-HE-33;Židle malá buková APOLENKA;390.000;
Z519-HE-4302C;Židle malá buková APOLENKA;390.000;
Z519-HE-4352C;Židle malá buková APOLENKA;390.000;
Z519-HE-863C;Židle malá buková APOLENKA;390.000;
Z519-L;Kostra židle APOLENKA;339.000;
Z519-L;Kostra židle APOLENKA;339.000;
Z519-L-01;Židle malá buková APOLENKA;390.000;
Z519-L-02;Židle malá buková APOLENKA;390.000;
Z519-L-03;Židle malá buková APOLENKA;390.000;
Z519-L-03;Židle malá II.jakost;390.000;
Z519-L-04;Židle malá buková APOLENKA;390.000;
Z519-L-09;Židle malá buková APOLENKA;390.000;
Z519-L-10;Židle malá buková APOLENKA;390.000;
Z519-L-103;Židle malá buková APOLENKA;390.000;
Z519-L-1304;Židle malá buková APOLENKA;390.000;
Z519-L-1306;Židle malá buková APOLENKA;390.000;
Z519-L-132;Židle malá buková APOLENKA;390.000;
Z519-L-133;Židle malá buková APOLENKA;390.000;
Z519-L-16;Židle malá buková APOLENKA;390.000;
Z519-L-2053;Židle malá buková APOLENKA;390.000;
Z519-L-228;Židle malá buková APOLENKA;390.000;
Z519-L-229;Židle malá buková APOLENKA;390.000;
Z519-L-230;Židle malá buková APOLENKA;390.000;
Z519-L-2304;Židle malá buková APOLENKA;390.000;
Z519-L-2309;Židle malá buková APOLENKA;390.000;
Z519-L-2310;Židle malá buková APOLENKA;390.000;
Z519-L-2311;Židle malá buková APOLENKA;390.000;
Z519-L-2313;Židle malá buková APOLENKA;390.000;
Z519-L-2321;Židle malá buková APOLENKA;390.000;
Z519-L-2327;Židle malá buková APOLENKA;390.000;
Z519-L-2328;Židle malá buková APOLENKA;390.000;
Z519-L-2329;Židle malá buková APOLENKA;390.000;
Z519-L-242;Židle malá buková APOLENKA;390.000;
Z519-L-35;Židle malá buková APOLENKA;390.000;
Z519-L-4302C;Židle malá buková APOLENKA;390.000;
Z519-L-4360C;Židle malá buková APOLENKA;390.000;
Z519-L-723;Židle malá buková APOLENKA;390.000;
Z519-L-728;Židle malá buková APOLENKA;390.000;
Z519-P;Kostra židle APOLENKA;339.000;
Z519-P;Kostra židle APOLENKA;339.000;
Z519-P-01;Židle malá buková APOLENKA;390.000;
Z519-P-03;Židle malá buková APOLENKA;390.000;
Z519-P-03;Židle malá II.jakost;390.000;
Z519-P-04;Židle malá buková APOLENKA;390.000;
Z519-P-05;Židle malá buková APOLENKA;390.000;
Z519-P-10;Židle malá buková APOLENKA;390.000;
Z519-P-102;Židle malá buková APOLENKA;390.000;
Z519-P-103;Židle malá buková APOLENKA;390.000;
Z519-P-11;Židle malá buková APOLENKA;390.000;
Z519-P-13;Židle malá buková APOLENKA;390.000;
Z519-P-130;Židle malá buková APOLENKA;390.000;
Z519-P-1301;Židle malá buková APOLENKA;390.000;
Z519-P-1303;Židle malá buková APOLENKA;390.000;
Z519-P-1307;Židle malá buková APOLENKA;390.000;
Z519-P-1308;Židle malá buková APOLENKA;390.000;
Z519-P-1310;Židle malá buková APOLENKA;390.000;
Z519-P-132;Židle malá buková APOLENKA;390.000;
Z519-P-133;Židle malá buková APOLENKA;390.000;
Z519-P-139;Židle malá buková APOLENKA;390.000;
Z519-P-14;Židle malá buková APOLENKA;390.000;
Z519-P-15;Židle malá buková APOLENKA;390.000;
Z519-P-16;Židle malá buková APOLENKA;390.000;
Z519-P-2054;Židle malá buková APOLENKA;390.000;
Z519-P-2055;Židle malá buková APOLENKA;390.000;
Z519-P-2057;Židle malá buková APOLENKA;390.000;
Z519-P-221;Židle malá buková APOLENKA;390.000;
Z519-P-223;Židle malá buková APOLENKA;390.000;
Z519-P-225;Židle malá buková APOLENKA;390.000;
Z61-P11;Židle DARINA;829.500;
Z61-P-111;Židle DARINA;829.500;
Z61-P-114;Židle DARINA;829.500;
Z61-P12;Židle DARINA;829.500;
Z61-P13;Židle DARINA;829.500;
Z61-P-130;Židle DARINA;829.500;
Z61-P-1300;Židle DARINA;829.500;
Z61-P-1303;Židle DARINA;829.500;
Z61-P-1304;Židle DARINA;829.500;
Z61-P-132;Židle DARINA;829.500;
Z61-P-133;Židle DARINA;829.500;
Z61-P-134;Židle DARINA;829.500;
Z61-P-1344;Židle DARINA;829.500;
Z61-P-137;Židle DARINA;829.500;
Z519-P-228;Židle malá buková APOLENKA;390.000;
Z519-P-230;Židle malá buková APOLENKA;390.000;
Z519-P-2303;Židle malá buková APOLENKA;390.000;
Z519-P-2304;Židle malá buková APOLENKA;390.000;
Z519-P-2306;Židle malá buková APOLENKA;390.000;
Z519-P-2307;Židle malá buková APOLENKA;390.000;
Z519-P-2309;Židle malá buková APOLENKA;390.000;
Z519-P-2310;Židle malá buková APOLENKA;390.000;
Z519-P-2311;Židle malá buková APOLENKA;390.000;
Z519-P-2312;Židle malá buková APOLENKA;390.000;
Z519-P-2313;Židle malá buková APOLENKA;390.000;
Z519-P-232;Židle malá buková APOLENKA;390.000;
Z519-P-2325;Židle malá buková APOLENKA;390.000;
Z519-P-2328;Židle malá buková APOLENKA;390.000;
Z519-P-2329;Židle malá buková APOLENKA;390.000;
Z519-P-2330;Židle malá buková APOLENKA;390.000;
Z519-P-2331;Židle malá buková APOLENKA;390.000;
Z519-P-2333;Židle malá buková APOLENKA;390.000;
Z519-P-236;Židle malá buková APOLENKA;390.000;
Z519-P-237;Židle malá buková APOLENKA;390.000;
Z519-P-243;Židle malá buková APOLENKA;390.000;
Z519-P-2503;Židle malá buková APOLENKA;390.000;
Z519-P-2504;Židle malá buková APOLENKA;390.000;
Z519-P-35;Židle malá buková APOLENKA;390.000;
Z519-P-37;Židle malá buková APOLENKA;390.000;
Z519-P-41;Židle malá buková APOLENKA;390.000;
Z519-P-42;Židle malá buková APOLENKA;390.000;
Z519-P-4301C;Židle malá buková APOLENKA;390.000;
Z519-P-4302C;Židle malá buková APOLENKA;390.000;
Z519-P-4352C;Židle malá buková APOLENKA;390.000;
Z519-P-4360C;Židle malá buková APOLENKA;390.000;
Z519-P-4361C;Židle malá buková APOLENKA;390.000;
Z519-P-4362C;Židle malá buková APOLENKA;390.000;
Z519-P-44;Židle malá buková APOLENKA;390.000;
Z519-P-728;Židle malá buková APOLENKA;390.000;
Z519-P-732;Židle malá buková APOLENKA;390.000;
Z519-P-864C;Židle malá buková APOLENKA;390.000;
Z519-S;Kostra židle APOLENKA;339.000;
S50-120-WE;Jídelní stůl-voština+chrom nohy 120x80;1290.000;
B474-L;Přistýlka pod postel 90 -masiv smrk-rošt;1186.560;
R23-H-2309;Křeslo pohupovací;2572.500;
Z69-H-222;Židle KLAUDIE;1016.530;
B065-ATYP;Regál v surovom stave,biely sololit v;2181.900;
B034-ATYP;Komoda v surovom st2+2zásuvky velké+malé;2098.950;
B862-B;Vitrína prosklená,smrk masiv;4566.240;
B807-B;Komoda dvířka+2zás.,smrk masiv;2618.280;
S184-120-CA;Jídelní stůl VERDI/120x80+40cm/;6358.800;
P60-P-2325;Set-pohovka P003+2 křesla-TULSA, VZOR;8370.000;
R51-L-03;Křeslo pohupovací,kostra pohup.pevné;2243.250;
R17-M-725;Křeslo pohupovací;1627.500;
Z133-T-2328;Židle JOKO čalouněná;2176.860;
Z27-S-03;Židle IRMA;617.360;
Z22-S-03;Židle LINDA;1121.490;
Z515-S-03;Židle buková JARMILA;1247.110;
Z503-S-02;Židle buková VILMA;1247.110;
Z21-S-03;Židle PAVLÍNA;730.580;
D305-DB;Police s věšaký CUBE;642.600;
M140-ZDENEK-16;Matr. ZDENĚK 140x200x16 (1ks);0.000;
RUS-1714a418;Fotorámeček;0.000;
RUS-hl01717/4f1;Ratanové srdce;0.000;
RUS-HL01718/5F1;Ratanové srdce;0.000;
RUS-HL1718/4F1;Ratanové srdce;0.000;
RUS-HL01717/3F1;Ratanové srdce;0.000;
Z519-W;Kostra židle APOLENKA;339.000;
Z519-W;Kostra židle APOLENKA;339.000;
Z519-W-01;Židle malá buková APOLENKA;390.000;
Z519-W-02;Židle malá buková APOLENKA;390.000;
Z519-W-03;Židle malá II.jakost;390.000;
Z519-W-12;Židle malá buková APOLENKA;390.000;
Z519-W-137;Židle malá buková APOLENKA;292.560;
Z519-W-228;Židle malá buková APOLENKA;390.000;
Z519-W-2309;Židle malá buková APOLENKA;390.000;
Z519-W-2310;Židle malá buková APOLENKA;390.000;
Z519-W-2313;Židle malá buková APOLENKA;390.000;
Z520-H;Židle celodřevěná buková BOŽENA;409.500;
Z520-HE;Židle celodřevěná buková BOŽENA;409.500;
Z520-L;Židle celodřevěná buková BOŽENA;409.500;
Z520-L;Židle celodřevěná buková BOŽENA;409.500;
Z520-P;Židle celodřevěná buková BOŽENA;409.500;
Z520-S;Židle celodřevěná buková BOŽENA;491.740;
Z521-P;Židle dětská rostoucí přírodní;885.000;
Z522-C-Z;Židle dětská rostoucí černo/zelená;1613.000;
Z522-C-Z;Židle dětská rostoucí černo/zelená;1613.000;
Z523-P-R;Židle dětská rostoucí přírodní/růžová;1613.000;
Z523-P-R;Židle dětská rostoucí přírodní/růžová;1613.000;
Z600-P-C;Zidle plastova cerna VLASTA;513.450;
Z600-P-C;Zidle plastova cerna VLASTA;513.450;
Z600-P-O;Židle plastová oranžová VLASTA;513.450;
Z600-P-O;Židle plastová oranžová VLASTA;513.450;
Z600-P-O;Židle plastová oranžová VLASTA;513.450;
Z601-P-C;Židle plastová černá JUDITA;418.950;
Z513-P-44;Židle buková MARIKA;934.500;
Z513-P-863C;Židle buková MARIKA;934.500;
Z513-S-01;Židle buková MARIKA;1121.490;
Z513-W;Kostra židle MARIKA;786.450;
Z513-W-01;Židle buková MARIKA;934.500;
Z513-W-136;Židle buková MARIKA;934.500;
Z513-W-38;Židle buková MARIKA;934.500;
Z514-H;Židle celodřevěná NELA;1039.500;
Z514-HE;Židle celodřevěná NELA;1039.500;
Z514-L;Židle celodřevěná NELA;1039.500;
Z514-L;Židle celodřevěná NELA;1039.500;
Z514-L;Židle celodřevěná NELA;1039.500;
Z514-P;Židle  celodřevěná NELA;1039.500;
Z514-W;Židle celodřevěná  NELA;1039.500;
Z515-H;Kostra židle JARMILA;950.250;
Z515-H-01;Židle buková JARMILA;1039.500;
Z515-HE;Kostra židle JARMILA;950.250;
Z515-HE-01;Židle buková JARMILA;1039.500;
Z515-HE-04;Židle buková JARMILA;1039.500;
Z515-HE-103;Židle buková JARMILA;1039.500;
Z515-HE-106;Židle buková JARMILA;1039.500;
Z515-HE-108;Židle buková JARMILA;1039.500;
Z515-HE-11;Židle buková JARMILA;1039.500;
Z515-HE-111;Židle buková JARMILA;1039.500;
Z515-HE-1304;Židle buková JARMILA;1039.500;
Z515-HE-134;Židle buková JARMILA;1039.500;
Z515-HE-136;Židle buková JARMILA;1039.500;
Z515-HE-44;Židle buková JARMILA;1039.500;
Z515-HE-724;Židle buková JARMILA;1039.500;
Z515-L;Kostra židle JARMILA;950.250;
Z515-L;Kostra židle JARMILA;950.250;
Z515-L-01;Židle buková JARMILA;1039.500;
Z515-L-107;Židle buková JARMILA;1039.500;
Z515-L-11;Židle buková JARMILA;1039.500;
Z515-L-110;Židle buková JARMILA;1039.500;
Z515-L-115;Židle buková JARMILA;1039.500;
Z515-L-1304;Židle buková JARMILA;1039.500;
Z515-L-1305;Židle buková JARMILA;1039.500;
Z515-L-1344;Židle buková JARMILA;1039.500;
Z515-L-2333;Židle buková JARMILA;1039.500;
Z515-L-39;Židle buková JARMILA;1039.500;
Z515-L-ATYP;Kostra židle JARMILA+molitan+sedák;1039.500;
Z515-P;Kostra židle JARMILA;950.250;
Z515-P;Kostra židle JARMILA;950.250;
Z515-P-01;Židle buková JARMILA;1039.500;
Z515-P-04;Židle buková JARMILA;1039.500;
Z515-P-1301;Židle buková JARMILA;1039.500;
Z515-P-1302;Židle buková JARMILA;1039.500;
Z515-P-134;Židle buková JARMILA;1039.500;
Z515-P-2323;Židle buková JARMILA;1039.500;
Z515-P-2323;Židle buková JARMILA;1039.500;
Z515-P-2324;Židle buková JARMILA;1039.500;
Z515-P-2504;Židle buková JARMILA;1039.500;
Z515-P-41;Židle buková JARMILA;1039.500;
Z515-P-K43;Židle buková JARMILA;1039.500;
Z515-S;Kostra židle JARMILA;950.250;
Z515-S-01;Židle buková JARMILA;1247.110;
Z515-S-103;Židle buková JARMILA;1247.110;
Z515-S-120;Židle buková JARMILA;1247.110;
Z515-S-1304;Židle buková JARMILA;1247.110;
Z515-S-15;Židle buková JARMILA;1247.110;
Z515-S-2328;Židle buková JARMILA;1247.110;
Z515-S-38;Židle buková JARMILA;1247.110;
Z515-S-4302C;Židle buková JARMILA;1247.110;
Z515-W;Kostra židle JARMILA;950.250;
Z515-W-01;Židle buková JARMILA;1039.500;
Z515-w-10;Židle buková JARMILA;1039.500;
Z515-W-1300;Židle buková JARMILA;1039.500;
Z515-W-136;Židle buková JARMILA;1039.500;
Z515-W-137;Židle buková JARMILA;1039.500;
Z515-W-2050;Židle buková JARMILA;1039.500;
Z515-W-2329;Židle buková JARMILA;1039.500;
Z515-W-724;Židle buková JARMILA;1039.500;
Z515-W-729;Židle buková JARMILA;1039.500;
Z516-H;Kostra židle buková VANDA;1039.500;
Z516-H-01;Židle buková VANDA;1039.500;
Z516-HE;Kostra židle buková VANDA;1039.500;
Z516-HE-01;Židle buková VANDA;1039.500;
Z516-HE-10;Židle buková VANDA;1039.500;
Z516-HE-40;Židle buková VANDA;1039.500;
Z516-L;Kostra židle buková VANDA;1039.500;
Z516-L-10;Židle buková VANDA;1039.500;
Z516-L-1341;Židle buková VANDA;1039.500;
Z516-L-38;Židle buková VANDA;1039.500;
Z516-L-40;Židle buková VANDA;1039.500;
Z516-L-K42;Židle buková VANDA;1039.500;
Z516-P;Kostra židle  buková VANDA;1039.500;
Z516-P-01;Židle buková VANDA;1039.500;
Z516-P-38;Židle buková VANDA;1039.500;
Z516-S;Kostra židle buková VANDA;1039.500;
Z516-S-01;Židle buková VANDA;1247.110;
Z516-S-1341;Židle buková VANDA;1247.110;
Z516-W;Kostra židle buková VANDA;1039.500;
Z516-W-01;Židle buková VANDA;1039.500;
Z516-W-235;Židle buková VANDA;1039.500;
Z601-P-C;Židle plastová černá JUDITA;418.950;
Z601-P-CV;Židle plastová červená JUDITA;418.950;
Z601-P-M;Židle plastová modrá JUDITA;418.950;
